#GeneID	a1	b1	g1	GOF1	a2	b2	g2	GOF2	s1	f1	d1	s2	f2	d2	Rs	Rf	Rd	pSize	pFreq	pDuty	p-value	mu1	cv1	mu2	cv2

ENSMUSG00000000088	1.1029	31.7276	6489.3211	4.7400e-01	3.3987	22.9219	1479.0851	2.7800e-01	214.3670	1.0647	0.0345	67.3544	2.9528	0.1311	-1.6702	1.4716	1.9250	0.0000e+00	0.0000e+00	0.0000e+00	9.7200e-03	215.5876	1.3181	191.0682	0.5228
ENSMUSG00000000740	2.6568	34.7888	6013.6073	3.2000e-01	6.9456	222.1749	12774.0111	3.4100e-01	180.2124	2.4661	0.0725	60.9125	6.7354	0.0307	-1.5649	1.4495	-1.2408	0.0000e+00	0.0000e+00	0.0000e+00	2.4100e-01	428.9009	0.6448	388.0428	0.3978
ENSMUSG00000001403	1.4226	15.0655	7622.9653	2.2300e-01	2.8717	76.9729	35550.6399	3.0100e-01	525.6537	1.2983	0.0874	488.1750	2.7647	0.0367	-0.1067	1.0905	-1.2537	3.0600e-11	0.0000e+00	0.0000e+00	5.6100e-07	653.8042	0.9073	1287.4232	0.6874
ENSMUSG00000002257	0.5511	6.3788	22.2372	1.5200e-05	0.3285	2.8309	111.6141	9.0300e-01	3.9055	0.5033	0.0864	43.7846	0.2911	0.1147	3.4869	-0.7899	0.4084	0.0000e+00	0.0000e+00	0.0000e+00	3.3800e-05	1.5800	3.8194	10.5471	2.1258
ENSMUSG00000003779	0.5110	16.9701	18980.6403	3.5500e-01	0.9574	21.6122	13029.2571	1.3000e-01	1184.3140	0.4954	0.0302	640.3848	0.9144	0.0444	-0.8870	0.8843	0.5552	0.0000e+00	0.0000e+00	0.0000e+00	2.6400e-01	571.4493	1.5695	564.0674	1.0866
ENSMUSG00000005397	0.3833	3.2755	3757.9594	4.4500e-01	1.1929	18.8534	10820.2721	4.0200e-01	1235.3768	0.3411	0.1100	605.5702	1.1206	0.0608	-1.0286	1.7160	-0.8550	0.0000e+00	0.0000e+00	0.0000e+00	4.6500e-05	381.1299	1.6143	628.2767	1.2415
ENSMUSG00000005410	0.8131	3.6445	7792.8046	4.6600e-01	1.3144	22.8745	17913.7102	3.1400e-01	2237.4966	0.6625	0.1846	822.6668	1.2416	0.0554	-1.4435	0.9063	-1.7365	0.0000e+00	0.0000e+00	0.0000e+00	1.1800e-01	1410.6562	0.9412	988.7016	0.7848
ENSMUSG00000006056	0.7182	3.1113	3599.6370	2.3000e-01	1.7656	56.7091	20751.3427	5.2600e-01	1215.4380	0.5808	0.1914	386.1409	1.7105	0.0308	-1.6543	1.5583	-2.6356	0.0000e+00	0.0000e+00	0.0000e+00	5.0800e-01	670.0451	0.9549	627.2075	0.8352
ENSMUSG00000006276	0.3058	3.0586	1455.8609	4.7400e-01	0.5250	19.4358	5972.8096	1.1200e-01	517.6000	0.2763	0.0962	327.6530	0.5100	0.0276	-0.6597	0.8843	-1.7988	0.0000e+00	0.0000e+00	0.0000e+00	2.9000e-02	117.6843	2.0201	161.9716	1.2942
ENSMUSG00000000001	0.3581	2.2754	3296.1003	5.9100e-01	0.5347	9.9829	5266.4658	5.9500e-01	1537.9737	0.3075	0.1409	569.1289	0.5054	0.0543	-1.4342	0.7170	-1.3766	0.0000e+00	0.0000e+00	0.0000e+00	9.7200e-02	459.1447	1.3499	256.5962	1.7799
ENSMUSG00000000003	49.8381	124.2957	0.3078	3.1700e-01	12.6490	308.5254	15.5441	6.2900e-07	0.0025	34.6420	0.2903	0.0217	11.7318	0.0587	3.1454	-1.5621	-2.3048	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	0.0592	7.0000	0.0000	 nan
ENSMUSG00000000028	0.5361	3.3077	4204.4197	2.2900e-01	0.6078	3.0302	1454.7157	3.0300e-01	1343.5994	0.4589	0.1436	505.1123	0.5038	0.1704	-1.4114	0.1347	0.2471	0.0000e+00	8.8800e-17	0.0000e+00	1.2900e-02	580.6060	1.2377	252.4293	1.0007
ENSMUSG00000000031	0.2494	6.7745	152.7373	2.0600e-06	50.1335	69.3815	0.0935	1.0000e+00	25.7994	0.2394	0.0400	0.0014	27.8632	0.4050	-14.1841	6.8629	3.3394	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	3.6828	5.8151	0.0140	6.9282
ENSMUSG00000000037	0.2189	3.4796	1111.2208	9.1300e-02	0.2748	3.7163	528.5927	8.1700e-03	362.5487	0.2045	0.0661	157.0801	0.2543	0.0750	-1.2067	0.3144	0.1824	0.0000e+00	0.0000e+00	7.9900e-12	1.0500e-01	53.7167	3.1262	30.8645	2.5743
ENSMUSG00000000056	0.2205	4.8827	1371.7437	9.7400e-03	0.2232	3.0179	572.5331	5.3500e-02	330.3288	0.2097	0.0500	212.3381	0.2063	0.0757	-0.6375	-0.0234	0.5986	0.0000e+00	1.2500e-01	0.0000e+00	3.1600e-01	45.7321	3.8383	32.9663	2.8765
ENSMUSG00000000078	0.3965	4.7164	2013.3581	9.3000e-01	0.5191	2.2466	471.6201	1.9800e-01	453.8704	0.3645	0.0804	227.3066	0.4172	0.1973	-0.9976	0.1950	1.2952	0.0000e+00	0.0000e+00	0.0000e+00	5.1200e-01	150.1597	1.7542	84.6059	1.2371
ENSMUSG00000000085	0.1870	4.2213	3561.0464	4.2600e-02	0.2425	2.4170	333.0063	4.8600e-03	946.0451	0.1783	0.0464	156.7142	0.2181	0.1014	-2.5938	0.2908	1.1270	0.0000e+00	0.0000e+00	0.0000e+00	6.0600e-01	106.4991	4.0933	25.8678	2.4597
